page,publisher,name,url,nimType,usecase,general,description,dateCreated,lastMonthApiInvocations
4,nvidia,llama-3.2-nemoretriever-500m-rerank-v2,https://build.nvidia.com/nvidia/llama-3_2-nemoretriever-500m-rerank-v2,Download Available,Retrieval Augmented Generation,nemo retriever; reranking,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.,2025-06-25,21409
4,nvidia,cosmos-transfer1-7b,https://build.nvidia.com/nvidia/cosmos-transfer1-7b,Free Endpoint,Synthetic Data Generation,Autonomous Vehicles; Physical AI; robotics; video-to-world,Generates physics-aware video world states for physical AI development using text prompts and multiple spatial control inputs derived from real-world data or simulation.,2025-06-13,220
4,nvidia,Background Noise Removal,https://build.nvidia.com/nvidia/bnr,Download Available,,Nvidia Maxine; Speech-to-speech; Digital Human; Speech Enhancement,Removes unwanted noises from audio improving speech intelligibility.,2025-06-12,462
4,mistralai,mistral-nemotron,https://build.nvidia.com/mistralai/mistral-nemotron,Free Endpoint,,language generation; instruction following; function calling,"Built for agentic workflows, this model excels in coding, instruction following, and function calling",2025-06-11,7361636
4,mit,Boltz-2,https://build.nvidia.com/mit/boltz2,Download Available,Drug Discovery,nim; Bionemo; Biology; Protein Folding,Predict complex structures using Boltz-2.,2025-06-07,210921
4,nvidia,llama-3.1-nemotron-nano-vl-8b-v1,https://build.nvidia.com/nvidia/llama-3.1-nemotron-nano-vl-8b-v1,Download Available,,doc intelligence; multiple image understanding; OCR,Multi-modal vision-language model that understands text/img and creates informative responses,2025-06-03,7126525
4,nvidia,magpie-tts-zeroshot,https://build.nvidia.com/nvidia/magpie-tts-zeroshot,Free Endpoint,Text-to-Speech,TTS; NVIDIA NIM; NVIDIA Riva,"Expressive and engaging text-to-speech, generated from a short audio sample.",2025-05-22,9144
4,black-forest-labs,FLUX.1-schnell,https://build.nvidia.com/black-forest-labs/flux_1-schnell,Partner Endpoint; Download Available,Text-to-Image; Image Generation,Run-on-RTX,"FLUX.1-schnell is a distilled image generation model, producing high quality images at fast speeds",2025-05-20,92849
4,mistralai,mistral-medium-3-instruct,https://build.nvidia.com/mistralai/mistral-medium-3-instruct,Free Endpoint,Image-to-Text,language generation; multimodal; visual question answering,"Powerful, multimodal language model designed for enterprise applications, including software development, data analysis, and reasoning.",2025-05-08,733218
4,nvidia,parakeet-1.1b-rnnt-multilingual-asr,https://build.nvidia.com/nvidia/parakeet-1_1b-rnnt-multilingual-asr,Download Available,Speech-to-Text,Automatic Speech Recognition; NVIDIA NIM; NVIDIA Riva,High accuracy and optimized performance for transcription in 25 languages,2025-04-30,20751
4,black-forest-labs,FLUX.1-dev,https://build.nvidia.com/black-forest-labs/flux_1-dev,Partner Endpoint; Download Available,Text-to-Image; Image Generation,Run-on-RTX,FLUX.1 is a state-of-the-art suite of image generation models,2025-04-09,69227
4,meta,llama-4-maverick-17b-128e-instruct,https://build.nvidia.com/meta/llama-4-maverick-17b-128e-instruct,Free Endpoint,Image-to-Text,language generation; vision assistant; visual question answering,"A general purpose multimodal, multilingual 128 MoE model with 17B parameters.",2025-04-06,18710382
4,nvidia,cosmos-predict1-5b,https://build.nvidia.com/nvidia/cosmos-predict1-5b,Free Endpoint,Synthetic Data Generation,Physical AI; policy evaluation; robotics; video-to-world,Generates future frames of a physics-aware world state based on simply an image or short video prompt for physical AI development.,2025-03-18,552
4,nvidia,sparsedrive,https://build.nvidia.com/nvidia/sparsedrive,Free Endpoint,,autonomous vehicles; bev; av stack; automotive,"End-to-end autonomous driving stack integrating perception, prediction, and planning with sparse scene representations for efficiency and safety.",2025-03-18,65
4,nvidia,bevformer,https://build.nvidia.com/nvidia/bevformer,Free Endpoint,,autonomous vehicles; bev; automotive; perception,Advanced transformer for multi-frame bird's-eye-view 3D perception in autonomous driving.,2025-03-18,122
4,nvidia,llama-3.3-nemotron-super-49b-v1,https://build.nvidia.com/nvidia/llama-3_3-nemotron-super-49b-v1,Download Available,,math; advanced reasoning; instruction following; function calling,"High efficiency model with leading accuracy for reasoning, tool calling, chat, and instruction following.",2025-03-18,3066417
4,nvidia,llama-3.1-nemotron-nano-8b-v1,https://build.nvidia.com/nvidia/llama-3_1-nemotron-nano-8b-v1,Download Available,,math; advanced reasoning; instruction following; function calling,Leading reasoning and agentic AI accuracy model for PC and edge.,2025-03-18,981098
4,nvidia,magpie-tts-multilingual,https://build.nvidia.com/nvidia/magpie-tts-multilingual,Download Available,Text-to-Speech,TTS; NVIDIA NIM; NVIDIA Riva; multilingual,Natural and expressive voices in multiple languages. For voice agents and brand ambassadors.,2025-03-18,91646
5,nvidia,nv-embedcode-7b-v1,https://build.nvidia.com/nvidia/nv-embedcode-7b-v1,Free Endpoint,Retrieval Augmented Generation,nemo retriever; Embedding,"The NV-EmbedCode model is a 7B Mistral-based embedding model optimized for code retrieval, supporting text, code, and hybrid queries.",2025-03-17,142763
5,nvidia,nemoretriever-table-structure-v1,https://build.nvidia.com/nvidia/nemoretriever-table-structure-v1,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2025-03-17,21123
5,nvidia,nemoretriever-graphic-elements-v1,https://build.nvidia.com/nvidia/nemoretriever-graphic-elements-v1,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2025-03-17,4026
5,nvidia,nemoretriever-page-elements-v2,https://build.nvidia.com/nvidia/nemoretriever-page-elements-v2,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion; run-on-rtx,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2025-03-17,116527
5,colabfold,msa-search,https://build.nvidia.com/colabfold/msa-search,Download Available,Drug Discovery,nim; Bionemo; Biology; Protein Folding,Generates a multiple sequence alignment from a query sequence and a protein sequence database search.,2025-03-16,4786
5,openfold,openfold2,https://build.nvidia.com/openfold/openfold2,Download Available,Drug Discovery,nim; Bionemo; Biology; Protein Folding,"Predicts the 3D structure of a protein from its amino acid sequence, multiple sequence alignments, and templates.",2025-03-14,462
5,google,gemma-3-27b-it,https://build.nvidia.com/google/gemma-3-27b-it,Partner Endpoint; Free Endpoint,Image-to-Text,Vision Assistant; Visual Question Answering; Language Generation,Cutting-edge open multimodal model exceling in high-quality reasoning from images.,2025-03-13,3935434
5,nvidia,nemoretriever-parse,https://build.nvidia.com/nvidia/nemoretriever-parse,Download Available,,optical character recognition; nemo retriever; data ingestion; table extraction; supported language - english,Cutting-edge vision-language model exceling in retrieving text and metadata from images.,2025-03-06,127926
5,microsoft,phi-4-mini-instruct,https://build.nvidia.com/microsoft/phi-4-mini-instruct,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Lightweight multilingual LLM powering AI applications in latency bound, memory/compute constrained environments",2025-02-26,548708
5,microsoft,phi-4-multimodal-instruct,https://build.nvidia.com/microsoft/phi-4-multimodal-instruct,Partner Endpoint; Free Endpoint,Image-to-Text,Speech Recognition; Visual QA; Language Generation; Chart and Table Understanding,Cutting-edge open multimodal model exceling in high-quality reasoning from image and audio inputs.,2025-02-26,433137
5,arc,evo2-40b,https://build.nvidia.com/arc/evo2-40b,Download Available,Drug Discovery,DNA Generation; biology; nim; Bionemo,Evo 2 is a biological foundation model that is able to integrate information over long genomic sequences while retaining sensitivity to single-nucleotide changes.,2025-02-19,337754
5,openai,whisper-large-v3,https://build.nvidia.com/openai/whisper-large-v3,Download Available; Partner Endpoint,Speech-to-Text,ASR; AST; batch; Multilingual; NVIDIA Riva; whisper,Robust Speech Recognition via Large-Scale Weak Supervision.,2025-02-18,43280
5,nvidia,canary-1b-asr,https://build.nvidia.com/nvidia/canary-1b-asr,Download Available,,Automatic Speech Recognition; Automatic Speech Translation; NVIDIA NIM; NVIDIA Riva,Multi-lingual model supporting speech-to-text recognition and translation.,2025-02-18,2281
5,nvidia,llama-3.1-nemoguard-8b-topic-control,https://build.nvidia.com/nvidia/llama-3_1-nemoguard-8b-topic-control,Download Available,,nemo guardrails; LLM safety; Safety and moderation; dialogue safety; nemotron,"Topic control model to keep conversations focused on approved topics, avoiding inappropriate content.",2025-01-16,129236
5,nvidia,nemoguard-jailbreak-detect,https://build.nvidia.com/nvidia/nemoguard-jailbreak-detect,Download Available,,nemo guardrails; llm security; NIM; Prompt Injection; Safety and Moderation; LLM Safety,Industry leading jailbreak classification model for protection from adversarial attempts,2025-01-16,11805
5,nvidia,llama-3.1-nemoguard-8b-content-safety,https://build.nvidia.com/nvidia/llama-3_1-nemoguard-8b-content-safety,Download Available,,nemo guardrails; LLM safety; Safety and moderation; dialogue safety; nemotron,Leading content safety model for enhancing the safety and moderation capabilities of LLMs,2025-01-16,127830
5,nvidia,genmol,https://build.nvidia.com/nvidia/genmol-generate,Download Available,Drug Discovery,Chemistry; nim; BioNemo; Molecule Generation,Fragment-Based Molecular Generation by Discrete Diffusion.,2025-01-13,4189
5,qwen,qwen2.5-coder-32b-instruct,https://build.nvidia.com/qwen/qwen2_5-coder-32b-instruct,Partner Endpoint; Download Available,,code completion; code generation; text-to-code,"Advanced LLM for code generation, reasoning, and fixing across popular programming languages.",2024-12-20,2481877
5,nvidia,llama-3.2-nv-embedqa-1b-v2,https://build.nvidia.com/nvidia/llama-3_2-nv-embedqa-1b-v2,Download Available,Text-to-Embedding; Retrieval Augmented Generation,nemo retriever; embedding,Multilingual and cross-lingual text question-answering retrieval with long context support and optimized data storage efficiency.,2024-12-16,2470799
5,nvidia,llama-3.2-nv-rerankqa-1b-v2,https://build.nvidia.com/nvidia/llama-3_2-nv-rerankqa-1b-v2,Download Available,Retrieval Augmented Generation,nemo retriever; reranking,"Fine-tuned reranking model for multilingual, cross-lingual text question-answering retrieval, with long context support.",2024-12-16,155767
5,nvidia,usdcode,https://build.nvidia.com/nvidia/usdcode,Free Endpoint,Digital Twin; Synthetic Data Generation; Code Generation,OpenUSD; Chat,State-of-the-art LLM that answers OpenUSD knowledge queries and generates USD-Python code.,2024-12-06,0
5,meta,llama-3.3-70b-instruct,https://build.nvidia.com/meta/llama-3_3-70b-instruct,Download Available; Partner Endpoint,Code Generation,Instruction following; Math; Reasoning; Text-to-Text,"Advanced LLM for reasoning, math, general knowledge, and function calling",2024-12-06,10874475
5,nvidia,nv-yolox-page-elements-v1,https://build.nvidia.com/nvidia/nv-yolox-page-elements-v1,Download Available,,Object Detection; Data ingestion; Chart Detection; nemo retriever; Table Detection; run-on-rtx,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2024-11-22,825
5,baidu,paddleocr,https://build.nvidia.com/baidu/paddleocr,Download Available,,Optical Character Recognition; Table Extraction; Optical Character Detection; nemo retriever; data ingestion; run-on-rtx,"Model for table extraction that receives an image as input, runs OCR on the image, and returns the text within the image and its bounding boxes.",2024-11-22,2772279
6,nvidia,conformer-ctc-asr,https://build.nvidia.com/nvidia/conformer-ctc-asr,Download Available,Speech-to-Text,ASR; streaming; Spanish; NVIDIA NIM; NVIDIA Riva,Automatic speech recognition model that transcribes speech in lower case Spanish with record-setting accuracy and performance,2024-11-18,36
6,nvidia,fourcastnet,https://build.nvidia.com/nvidia/fourcastnet,Download Available,Weather Simulation,AI Weather Prediction; climate science; Earth-2,FourCastNet predicts global atmospheric dynamics of various weather / climate variables.,2024-11-18,1765
6,nvidia,studiovoice,https://build.nvidia.com/nvidia/studiovoice,Download Available; Free Endpoint,,communications; mic quality; nvidia ai for media; speech enhancement,"Enhance input speech recorded with low-quality microphones in noisy or reverberant environments, producing studio-quality speech.",2024-10-03,3310
6,meta,llama-3.2-3b-instruct,https://build.nvidia.com/meta/llama-3.2-3b-instruct,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Advanced state-of-the-art small language model with language understanding, superior reasoning, and text generation.",2024-09-25,1073812
6,meta,llama-3.2-11b-vision-instruct,https://build.nvidia.com/meta/llama-3.2-11b-vision-instruct,Download Available; Partner Endpoint,Image-to-Text,Image-Text Retrieval; Visual QA; Image Captioning; Visual Grounding,Cutting-edge vision-language model exceling in high-quality reasoning from images.,2024-09-25,1116020
6,meta,llama-3.2-90b-vision-instruct,https://build.nvidia.com/meta/llama-3.2-90b-vision-instruct,Partner Endpoint; Download Available,Image-to-Text,Image-Text Retrieval; Visual QA; image captioning; Visual Grounding,Cutting-edge vision-Language model exceling in high-quality reasoning from images.,2024-09-25,1501799
6,meta,llama-3.2-1b-instruct,https://build.nvidia.com/meta/llama-3.2-1b-instruct,Partner Endpoint; Download Available,Code Generation,chat; Text-to-Text; Language Generation,"Advanced state-of-the-art small language model with language understanding, superior reasoning, and text generation.",2024-09-25,406795
6,abacusai,dracarys-llama-3.1-70b-instruct,https://build.nvidia.com/abacusai/dracarys-llama-3_1-70b-instruct,Free Endpoint,,Code Generation; Text-to-Text,"Fine-tuned Llama 3.1 70B model for code generation, summarization, and multi-language tasks.",2024-09-11,548685
6,deepmind,alphafold2-multimer,https://build.nvidia.com/deepmind/alphafold2-multimer,Download Available,Drug Discovery,nim; Bionemo; Biology; protein folding,Predicts the 3D structure of a protein from its amino acid sequence.,2024-09-11,92
6,meta,esm2-650m,https://build.nvidia.com/meta/esm2-650m,Free Endpoint,Drug Discovery,nim; Protein Embedding; BioNemo; Biology,Generates embeddings of proteins from their amino acid sequences.,2024-08-29,25052
6,deepmind,alphafold2,https://build.nvidia.com/deepmind/alphafold2,Download Available,Drug Discovery,nim; Bionemo; Biology; protein folding,Predicts the 3D structure of a protein from its amino acid sequence.,2024-08-27,243
6,nvidia,nemotron-mini-4b-instruct,https://build.nvidia.com/nvidia/nemotron-mini-4b-instruct,Free Endpoint,,Chat; Text-to-Text; Language Generation,"Optimized SLM for on-device inference and fine-tuned for roleplay, RAG and function calling",2024-08-21,778423
6,nvidia,megatron-1b-nmt,https://build.nvidia.com/nvidia/megatron-1b-nmt,Download Available,Text Translation,Neural machine translation; NVIDIA NIM,Enable smooth global interactions in 36 languages.,2024-08-06,0
6,nvidia,parakeet-ctc-1.1b-asr,https://build.nvidia.com/nvidia/parakeet-ctc-1_1b-asr,Download Available,Speech-to-Text,ASR; Streaming; English; batch; NVIDIA NIM,Record-setting accuracy and performance for English transcription.,2024-08-06,69456
6,nvidia,parakeet-ctc-0.6b-asr,https://build.nvidia.com/nvidia/parakeet-ctc-0_6b-asr,Download Available,Speech-to-Text,ASR; Streaming; English; Batch; Fast; NVIDIA NIM,State-of-the-art accuracy and speed for English transcriptions.,2024-08-06,2979
6,ipd,proteinmpnn,https://build.nvidia.com/ipd/proteinmpnn,Download Available,Drug Discovery,biology; nim; BioNemo; Protein Generation,ProteinMPNN is a deep learning model for predicting amino acid sequences for protein backbones.,2024-08-02,5894
6,google,gemma-2-2b-it,https://build.nvidia.com/google/gemma-2-2b-it,Free Endpoint,Code Generation,Chat; Text-to-Text; Language Generation,Advanced small language generative AI model for edge applications,2024-07-30,554746
6,nvidia,eyecontact,https://build.nvidia.com/nvidia/eyecontact,Download Available,,telepresence; Nvidia Maxine; Digital Human,Estimate gaze angles of a person in a video and redirect to make it frontal.,2024-07-29,727
6,nvidia,usdvalidate,https://build.nvidia.com/nvidia/usdvalidate,Free Endpoint,Digital Twin; Synthetic Data Generation,Validation; OpenUSD; USD; Visualization 3D,Verify compatibility of OpenUSD assets with instant RTX render and rule-based validation.,2024-07-24,77
6,meta,llama-3.1-70b-instruct,https://build.nvidia.com/meta/llama-3_1-70b-instruct,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Powers complex conversations with superior contextual understanding, reasoning and text generation.",2024-07-23,2772043
6,meta,llama-3.1-8b-instruct,https://build.nvidia.com/meta/llama-3_1-8b-instruct,Download Available; Partner Endpoint,Code Generation,Chat; Text-to-Text; Language Generation; Run-on-RTX,"Advanced state-of-the-art model with language understanding, superior reasoning, and text generation.",2024-07-23,20436521
6,nvidia,nv-embedqa-e5-v5,https://build.nvidia.com/nvidia/nv-embedqa-e5-v5,Download Available,Text-to-Embedding; Retrieval Augmented Generation,Embedding; run-on-rtx; Nemo retriever,English text embedding model for question-answering retrieval.,2024-07-17,23204500
6,mistralai,mistral-7b-instruct-v0.3,https://build.nvidia.com/mistralai/mistral-7b-instruct-v03,Partner Endpoint; Download Available,,Chat; Text-to-Text; Language Generation,"This LLM follows instructions, completes requests, and generates creative text.",2024-06-17,415711
6,nvidia,nvclip,https://build.nvidia.com/nvidia/nvclip,Download Available,,Computer vision; multimodal embeddings; text and image; Run-on-rtx,NV-CLIP is a multimodal embeddings model for image and text.,2024-06-13,25338
7,nvidia,nv-embed-v1,https://build.nvidia.com/nvidia/nv-embed-v1,Free Endpoint,Text-to-Embedding; Retrieval Augmented Generation,Non-Commercial Use Only,Generates high-quality numerical embeddings from text inputs.,2024-06-07,3091237
7,upstage,solar-10.7b-instruct,https://build.nvidia.com/upstage/solar-10_7b-instruct,Free Endpoint,,Non-Commercial Use Only; chat; Text-to-Text; Language Generation; Large Language Models,"Excels in NLP tasks, particularly in instruction-following, reasoning, and mathematics.",2024-06-05,310510
7,baai,bge-m3,https://build.nvidia.com/baai/bge-m3,Partner Endpoint; Download Available,Text-to-Embedding; Retrieval Augmented Generation,Embeddings; Retrieval Augmented Generation,"Embedding model for text retrieval tasks, excelling in dense, multi-vector, and sparse retrieval.",2024-06-01,3387825
7,ipd,rfdiffusion,https://build.nvidia.com/ipd/rfdiffusion,Download Available,Drug Discovery,biology; nim; BioNemo; Protein Generation,A generative model of protein backbones for protein binder design.,2024-05-22,4608
7,google,paligemma,https://build.nvidia.com/google/google-paligemma,Free Endpoint,Image-to-Text,image; cv; Vision Assistant; vlm; Visual Question Answering; computer vision,Vision language model adept at comprehending text and visual inputs to produce informative responses,2024-05-14,13437
7,mistralai,mixtral-8x22b-instruct-v0.1,https://build.nvidia.com/mistralai/mixtral-8x22b-instruct,Partner Endpoint; Download Available,Code Generation,Advanced Reasoning; Chat; Text-to-Text; Large Language Models,"An MOE LLM that follows instructions, completes requests, and generates creative text.",2024-04-18,2098699
7,nvidia,rerank-qa-mistral-4b,https://build.nvidia.com/nvidia/rerank-qa-mistral-4b,Free Endpoint,Retrieval Augmented Generation,Ranking; Retrieval Augmented Generation,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.,2024-03-17,349187
7,nvidia,vista-3d,https://build.nvidia.com/nvidia/vista-3d,Download Available,Medical Imaging,Interactive Annotation; Image Segmentation; Non-Commercial Use Only,VISTA-3D is a specialized interactive foundation model for segmenting and anotating human anatomies.,2024-03-15,1165
7,nvidia,molmim,https://build.nvidia.com/nvidia/molmim-generate,Download Available,Drug Discovery,Chemistry; nim; BioNemo; Molecule Generation,"MolMIM performs controlled generation, finding molecules with the right properties.",2024-03-15,275654
7,meta,esmfold,https://build.nvidia.com/meta/esmfold,Free Endpoint,,biology; nim; Bionemo; protein folding; Drug Discovery,Predicts the 3D structure of a protein from its amino acid sequence.,2024-03-15,651922
7,mit,diffdock,https://build.nvidia.com/mit/diffdock,Download Available,Drug Discovery,Chemistry; nim; BioNemo; Docking,Predicts the 3D structure of how a molecule interacts with a protein.,2024-03-15,116452
7,mistralai,mixtral-8x7b-instruct-v0.1,https://build.nvidia.com/mistralai/mixtral-8x7b-instruct,Partner Endpoint; Download Available,Code Generation,Advanced Reasoning; Chat; Text-to-Text; Large Language Models,"An MOE LLM that follows instructions, completes requests, and generates creative text.",2024-03-15,606743
7,nvidia,cuopt,https://build.nvidia.com/nvidia/nvidia-cuopt,Download Available,Route Optimization,,World-record accuracy and performance for complex route optimization.,2024-03-15,51421
