分類排序,原始排序,主分類,子分類,publisher,name,url,具體用途（中文）,API/服務型態,典型輸入,典型輸出,落地操作步驟,建議串接位置,POC檢核,nimType,原始 Use Case,general,description
1,128,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,abacusai,dracarys-llama-3.1-70b-instruct,https://build.nvidia.com/abacusai/dracarys-llama-3_1-70b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,(未標示),Code Generation; Text-to-Text,"Fine-tuned Llama 3.1 70B model for code generation, summarization, and multi-language tasks."
2,6,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,deepseek-ai,deepseek-v4-flash,https://build.nvidia.com/deepseek-ai/deepseek-v4-flash,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),coding; MoE; fast; agentic,DeepSeek V4 Flash is a 284B MoE model with 1M-token context optimized for fast coding and agents.
3,7,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,deepseek-ai,deepseek-v4-pro,https://build.nvidia.com/deepseek-ai/deepseek-v4-pro,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),Moe; reasoning; coding; agentic,DeepSeek V4 scales to 1M-token context windows with efficient MoE architecture for coding tasks.
4,137,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,google,gemma-2-2b-it,https://build.nvidia.com/google/gemma-2-2b-it,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Code Generation,Chat; Text-to-Text; Language Generation,Advanced small language generative AI model for edge applications
5,17,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,google,gemma-4-31b-it,https://build.nvidia.com/google/gemma-4-31b-it,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),coding; text-to-text; reasoning; agentic,"Dense 31B model delivering frontier reasoning for coding, agentic workflows, and fine-tuning."
6,140,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.1-70b-instruct,https://build.nvidia.com/meta/llama-3_1-70b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Powers complex conversations with superior contextual understanding, reasoning and text generation."
7,141,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.1-8b-instruct,https://build.nvidia.com/meta/llama-3_1-8b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,Code Generation,Chat; Text-to-Text; Language Generation; Run-on-RTX,"Advanced state-of-the-art model with language understanding, superior reasoning, and text generation."
8,127,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.2-1b-instruct,https://build.nvidia.com/meta/llama-3.2-1b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,chat; Text-to-Text; Language Generation,"Advanced state-of-the-art small language model with language understanding, superior reasoning, and text generation."
9,124,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.2-3b-instruct,https://build.nvidia.com/meta/llama-3.2-3b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Advanced state-of-the-art small language model with language understanding, superior reasoning, and text generation."
10,118,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.3-70b-instruct,https://build.nvidia.com/meta/llama-3_3-70b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,Code Generation,Instruction following; Math; Reasoning; Text-to-Text,"Advanced LLM for reasoning, math, general knowledge, and function calling"
11,105,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,microsoft,phi-4-mini-instruct,https://build.nvidia.com/microsoft/phi-4-mini-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Lightweight multilingual LLM powering AI applications in latency bound, memory/compute constrained environments"
12,32,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,minimaxai,minimax-m2.5,https://build.nvidia.com/minimaxai/minimax-m2.5,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),reasoning; coding; text-to-text,"MiniMax M2.5 is a 230B-parameter text-to-text AI model excelling in coding, reasoning, and office tasks."
13,16,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,minimaxai,minimax-m2.7,https://build.nvidia.com/minimaxai/minimax-m2.7,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),coding; text-to-text; reasoning,"MiniMax M2.7 is a 230B-parameter text-to-text AI model excelling in coding, reasoning, and office tasks."
14,42,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,mistralai,devstral-2-123b-instruct-2512,https://build.nvidia.com/mistralai/devstral-2-123b-instruct-2512,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),coding; reasoning; text-to-code; agentic,"State-of-the-art open code model with deep reasoning, 256k context, and unmatched efficiency."
15,74,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,mistralai,magistral-small-2506,https://build.nvidia.com/mistralai/magistral-small-2506,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),coding; math; advanced reasoning; multilingual,High performance reasoning model optimized for efficiency and edge deployment
16,4,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,mistralai,mistral-medium-3.5-128b,https://build.nvidia.com/mistralai/mistral-medium-3.5-128b,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),coding; reasoning; text; agentic,"A high performing model for text generation, coding and agentic use cases"
17,82,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,mistralai,mistral-nemotron,https://build.nvidia.com/mistralai/mistral-nemotron,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,(未標示),language generation; instruction following; function calling,"Built for agentic workflows, this model excels in coding, instruction following, and function calling"
18,150,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,mistralai,mixtral-8x22b-instruct-v0.1,https://build.nvidia.com/mistralai/mixtral-8x22b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,Advanced Reasoning; Chat; Text-to-Text; Large Language Models,"An MOE LLM that follows instructions, completes requests, and generates creative text."
19,156,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,mistralai,mixtral-8x7b-instruct-v0.1,https://build.nvidia.com/mistralai/mixtral-8x7b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,Advanced Reasoning; Chat; Text-to-Text; Large Language Models,"An MOE LLM that follows instructions, completes requests, and generates creative text."
20,73,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,moonshotai,kimi-k2-instruct,https://build.nvidia.com/moonshotai/kimi-k2-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),coding; chat; advanced reasoning; agentic,"State-of-the-art open mixture-of-experts model with strong reasoning, coding, and agentic capabilities"
21,40,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,nvidia,nemotron-3-nano-30b-a3b,https://build.nvidia.com/nvidia/nemotron-3-nano-30b-a3b,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),MoE; Reasoning; Long Context; Instruction Following,"Open, efficient MoE model with 1M context, excelling in coding, reasoning, instruction following, tool calling, and more"
22,24,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,nvidia,nemotron-3-super-120b-a12b,https://build.nvidia.com/nvidia/nemotron-3-super-120b-a12b,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),MoE; Reasoning; Chat; Long Context; Instruction Following,"Open, efficient hybrid Mamba-Transformer MoE with 1M context, excelling in agentic reasoning, coding, planning, tool calling, and more"
23,114,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,qwen,qwen2.5-coder-32b-instruct,https://build.nvidia.com/qwen/qwen2_5-coder-32b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),code completion; code generation; text-to-code,"Advanced LLM for code generation, reasoning, and fixing across popular programming languages."
24,61,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,qwen,qwen3-coder-480b-a35b-instruct,https://build.nvidia.com/qwen/qwen3-coder-480b-a35b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),agentic coding; moe; long context; browser use,"Excels in agentic coding and browser use and supports 256K context, delivering top results."
25,70,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,sarvamai,sarvam-m,https://build.nvidia.com/sarvamai/sarvam-m,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),coding; indic languages; hybrid; reasoning; math; multilingual,"Multilingual, hybrid-reasoning model optimized for Indian language tasks, programming, mathematical reasoning capabilities."
26,36,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,stepfun-ai,step-3.5-flash,https://build.nvidia.com/stepfun-ai/step-3.5-flash,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),Agentic; Coding; Reasoning,200B open-source reasoning engine with sparse MoE powering frontier agentic AI.
27,9,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,z-ai,glm-4.7,https://build.nvidia.com/z-ai/glm-4.7,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),Tool Calling; Coding; Reasoning; Multilingual,"GLM-4.7 is a multilingual agentic coding partner with stronger reasoning, tool use, and UI skills."
28,8,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,z-ai,glm-5.1,https://build.nvidia.com/z-ai/glm-5.1,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),Agentic AI; Coding; Reasoning; Tool Use,"GLM-5.1 is a flagship LLM for agentic workflows, coding, and long-horizon reasoning tasks."
