分類排序,原始排序,主分類,子分類,publisher,name,url,具體用途（中文）,API/服務型態,典型輸入,典型輸出,落地操作步驟,建議串接位置,POC檢核,nimType,原始 Use Case,general,description
59,72,文件理解與資料擷取,OCR / 文件解析,nvidia,nemoretriever-ocr,https://build.nvidia.com/nvidia/nemoretriever-ocr,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis."
60,65,文件理解與資料擷取,OCR / 文件解析,nvidia,nemoretriever-ocr-v1,https://build.nvidia.com/nvidia/nemoretriever-ocr-v1,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis."
61,104,文件理解與資料擷取,OCR / 文件解析,nvidia,nemoretriever-parse,https://build.nvidia.com/nvidia/nemoretriever-parse,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),optical character recognition; nemo retriever; data ingestion; table extraction; supported language - english,Cutting-edge vision-language model exceling in retrieving text and metadata from images.
62,23,文件理解與資料擷取,OCR / 文件解析,nvidia,nemotron-ocr-v1,https://build.nvidia.com/nvidia/nemotron-ocr-v1,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis."
63,47,文件理解與資料擷取,OCR / 文件解析,nvidia,nemotron-parse,https://build.nvidia.com/nvidia/nemotron-parse,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),text and table extraction; document parsing; supported language - english,Cutting-edge vision-language model exceling in retrieving text and metadata from images.
64,99,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nemoretriever-graphic-elements-v1,https://build.nvidia.com/nvidia/nemoretriever-graphic-elements-v1,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
65,100,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nemoretriever-page-elements-v2,https://build.nvidia.com/nvidia/nemoretriever-page-elements-v2,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion; run-on-rtx,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
66,39,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nemoretriever-page-elements-v3,https://build.nvidia.com/nvidia/nemoretriever-page-elements-v3,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
67,98,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nemoretriever-table-structure-v1,https://build.nvidia.com/nvidia/nemoretriever-table-structure-v1,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
68,29,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nemotron-graphic-elements-v1,https://build.nvidia.com/nvidia/nemotron-graphic-elements-v1,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
69,28,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nemotron-page-elements-v3,https://build.nvidia.com/nvidia/nemotron-page-elements-v3,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Object Detection,Object Detection; Chart Detection; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
70,27,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nemotron-table-structure-v1,https://build.nvidia.com/nvidia/nemotron-table-structure-v1,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
71,119,文件理解與資料擷取,版面/表格/圖表偵測,nvidia,nv-yolox-page-elements-v1,https://build.nvidia.com/nvidia/nv-yolox-page-elements-v1,偵測文件中的表格、圖表、標題與頁面元素，將 PDF/圖片切成可檢索結構。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將文件頁面轉成圖片。2. 呼叫版面偵測模型找表格、圖表、標題、區塊。3. 依 bbox 裁切或建立閱讀順序。4. 接 OCR/parse 抽內容。5. 寫入文件索引或資料庫。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),Object Detection; Data ingestion; Chart Detection; nemo retriever; Table Detection; run-on-rtx,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
72,103,多模態理解,圖像/影片問答,google,gemma-3-27b-it,https://build.nvidia.com/google/gemma-3-27b-it,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,Image-to-Text,Vision Assistant; Visual Question Answering; Language Generation,Cutting-edge open multimodal model exceling in high-quality reasoning from images.
73,149,多模態理解,圖像/影片問答,google,paligemma,https://build.nvidia.com/google/google-paligemma,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Image-to-Text,image; cv; Vision Assistant; vlm; Visual Question Answering; computer vision,Vision language model adept at comprehending text and visual inputs to produce informative responses
74,125,多模態理解,圖像/影片問答,meta,llama-3.2-11b-vision-instruct,https://build.nvidia.com/meta/llama-3.2-11b-vision-instruct,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,Image-to-Text,Image-Text Retrieval; Visual QA; Image Captioning; Visual Grounding,Cutting-edge vision-language model exceling in high-quality reasoning from images.
75,126,多模態理解,圖像/影片問答,meta,llama-3.2-90b-vision-instruct,https://build.nvidia.com/meta/llama-3.2-90b-vision-instruct,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Image-to-Text,Image-Text Retrieval; Visual QA; image captioning; Visual Grounding,Cutting-edge vision-Language model exceling in high-quality reasoning from images.
76,90,多模態理解,圖像/影片問答,meta,llama-4-maverick-17b-128e-instruct,https://build.nvidia.com/meta/llama-4-maverick-17b-128e-instruct,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Image-to-Text,language generation; vision assistant; visual question answering,"A general purpose multimodal, multilingual 128 MoE model with 17B parameters."
77,45,多模態理解,圖像/影片問答,mistralai,ministral-14b-instruct-2512,https://build.nvidia.com/mistralai/ministral-14b-instruct-2512,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Image-to-Text,language generation; SLM; multimodal,A general purpose VLM ideal for chat and instruction based use cases
78,44,多模態理解,圖像/影片問答,mistralai,mistral-large-3-675b-instruct-2512,https://build.nvidia.com/mistralai/mistral-large-3-675b-instruct-2512,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,Image-to-Text,language generation; multimodal; agentic,"A state-of-the-art general purpose MoE VLM ideal for chat, agentic and instruction based use cases."
79,87,多模態理解,圖像/影片問答,mistralai,mistral-medium-3-instruct,https://build.nvidia.com/mistralai/mistral-medium-3-instruct,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Image-to-Text,language generation; multimodal; visual question answering,"Powerful, multimodal language model designed for enterprise applications, including software development, data analysis, and reasoning."
80,19,多模態理解,圖像/影片問答,mistralai,mistral-small-4-119b-2603,https://build.nvidia.com/mistralai/mistral-small-4-119b-2603,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),code generation; reasoning; image-to-text,"Hybrid MoE model unifying instruct, reasoning, and coding with multimodal input and 256k context"
81,1,多模態理解,圖像/影片問答,moonshotai,kimi-k2.6,https://build.nvidia.com/moonshotai/kimi-k2.6,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,Image-to-Text,Multimodal; Reasoning; Mixture-of-Experts,"1T multimodal MoE for long-horizon coding, agentic tool use, and image/video understanding."
82,84,多模態理解,圖像/影片問答,nvidia,llama-3.1-nemotron-nano-vl-8b-v1,https://build.nvidia.com/nvidia/llama-3.1-nemotron-nano-vl-8b-v1,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),doc intelligence; multiple image understanding; OCR,Multi-modal vision-language model that understands text/img and creates informative responses
83,48,多模態理解,圖像/影片問答,nvidia,nemotron-nano-12b-v2-vl,https://build.nvidia.com/nvidia/nemotron-nano-12b-v2-vl,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Image-to-Text,language generation; vision assistant; visual question answering,"Nemotron Nano 12B v2 VL enables multi-image and video understanding, along with visual Q&A and summarization capabilities."
84,26,多模態理解,圖像/影片問答,qwen,qwen3.5-122b-a10b,https://build.nvidia.com/qwen/qwen3.5-122b-a10b,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),tool calling; text-to-text; reasoning; image-to-text,"122B MoE LLM (10B active) for coding, reasoning, multimodal chat. Agent-ready."
85,34,多模態理解,圖像/影片問答,qwen,qwen3.5-397b-a17b,https://build.nvidia.com/qwen/qwen3.5-397b-a17b,理解圖片或影片內容並回答問題/產生描述，適合視覺問答、圖表理解與內容分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),MoE; VLM; image-to-image; agentic,"Next-gen Qwen 3.5 VLM (400B MoE) brings advanced vision, chat, RAG, and agentic capabilities."
86,78,多模態理解,圖像/語音/文字理解,google,gemma-3n-e2b-it,https://build.nvidia.com/google/gemma-3n-e2b-it,同時理解圖片、語音與文字，適合多模態聊天、圖表問答與情境分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,(未標示),language generation; speech recognition; Visual QA; chat,"An edge computing AI model which accepts text, audio and image input, ideal for resource-constrained environments"
87,77,多模態理解,圖像/語音/文字理解,google,gemma-3n-e4b-it,https://build.nvidia.com/google/gemma-3n-e4b-it,同時理解圖片、語音與文字，適合多模態聊天、圖表問答與情境分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),language generation; speech recognition; Visual QA; chat,"An edge computing AI model which accepts text, audio and image input, ideal for resource-constrained environments"
88,106,多模態理解,圖像/語音/文字理解,microsoft,phi-4-multimodal-instruct,https://build.nvidia.com/microsoft/phi-4-multimodal-instruct,同時理解圖片、語音與文字，適合多模態聊天、圖表問答與情境分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,Image-to-Text,Speech Recognition; Visual QA; Language Generation; Chart and Table Understanding,Cutting-edge open multimodal model exceling in high-quality reasoning from image and audio inputs.
89,5,多模態理解,圖像/語音/文字理解,nvidia,nemotron-3-nano-omni-30b-a3b-reasoning,https://build.nvidia.com/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,同時理解圖片、語音與文字，適合多模態聊天、圖表問答與情境分析。,Multimodal / Vision-Language API,圖片、影片幀、音訊片段、文字問題或多模態 prompt,圖片/影片描述、視覺問答、表格/圖表解讀、情境推理結果,1. 準備圖片/影片幀/音訊與問題。2. 呼叫多模態模型做描述或問答。3. 將輸出結構化成 JSON/文字。4. 對高風險場景加人工複核。5. 接到搜尋、客服或審核流程。,視覺問答、影片分析、圖表理解、多模態 agent,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,Image-to-Text,VLM; Video; Omni; OCR,"Nemotron 3 Nano Omni is an omni-modal reasoning model that understands images, video, speech, text."
